date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_09_13,CNHB,AS,16.247,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,0,17.573,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,15,25.094,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,30,26.449,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHB,45,28.603,304.6,292.2,294.9,12.5,0.9453125
2019_09_13,CNHC,AS,17.83,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,0,21.221,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,15,30.926,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,30,37.726,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNHC,45,44.696,304.6,293,294.9,12.5,1.03984375
2019_09_13,CNLA,AS,17.156,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,0,19.426,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,15,26.647,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,30,33.487,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLA,45,36.966,304.6,297.1,294.9,12.5,3.403125
2019_09_13,CNLB,AS,15.447,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,0,16.509,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,15,25.412,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,30,32.419,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLB,45,39.634,304.6,296.3,294.9,12.5,1.41796875
2019_09_13,CNLC,AS,17.119,304.6,295.8,294.9,12.5,1.41796875
2019_09_13,CNLC,0,17.747,304.6,295.8,294.9,12.5,1.41796875
